lemma,part_of_speech,absolute_frequency
Avloclor,PROPN,2
Avulsion,PROPN,1
Axon,PROPN,2
Ayurvedism,PROPN,1
Azapropazone,PROPN,1
Azatadine,PROPN,1
Azathioprine,PROPN,3
Azithromycin,PROPN,2
Azlocillin,PROPN,1
Azoospermia,PROPN,2
Aztreonam,PROPN,1
B,PROPN,63
BABY,PROPN,2
BACK,PROPN,2
BACLOFEN,PROPN,1
BACTERIOSTATIC,PROPN,1
BACTERIURIA,PROPN,1
BALANCED,PROPN,1
BARIUM,PROPN,3
BARRE,PROPN,2
BARRIER,PROPN,1
BARTHOLIN,PROPN,1
BASAL,PROPN,1
BC,PROPN,1
BCC,PROPN,1
BCG,PROPN,12
BDS,PROPN,6
BEHAVIOURAL,PROPN,1
BEREAVEMENT,PROPN,1
BERRY,NOUN,1
BERYLLIOSIS,PROPN,1
BETA,PROPN,1
BIFIDA,PROPN,1
BILATERAL,PROPN,1
BILE,PROPN,1
BILIARY,PROPN,1
BILLROTH,PROPN,1
BIND,NOUN,1
BINET,NOUN,1
BIOLOGICAL,PROPN,1
BIOPSY,PROPN,3
BIOTIN,PROPN,1
BIRTH,PROPN,2
BIRTHING,PROPN,1
BLADDER,PROPN,3
BLEEDING,PROPN,1
BLIND,PROPN,1
BLOODVESSELS,PROPN,1
BM,PROPN,1
BMA,PROPN,2
BMI,PROPN,15
BMR,PROPN,7
BMT,PROPN,6
BODY,ADJ,8
BODY,PROPN,2
BOIL,VERB,1
BOLUS,PROPN,1
BONE,PROPN,1
BORNE,PROPN,1
BOTTLE,PROPN,1
BOWEL,PROPN,2
BOYS,PROPN,2
BP,PROPN,1
BPH,PROPN,1
BPharm,PROPN,1
BRAIN,PROPN,14
BRAINSTEM,PROPN,1
BRCA,PROPN,2
BREAKTHROUGH,PROPN,1
BREAST,NOUN,3
BREAST,VERB,1
BREATHLESSNESS,PROPN,1
BRITISH,PROPN,1
BRONCHOSCOPY,PROPN,1
BRONCHUS,PROPN,1
BS,PROPN,3
BSE,PROPN,12
BSIP,PROPN,5
BULB,PROPN,1
BULL,PROPN,1
BULLA,PROPN,1
BUNIONS,PROPN,1
BURNETTI,PROPN,1
BURSITIS,PROPN,2
BY,PROPN,1
BYPASS,PROPN,1
BYSSINOSIS,PROPN,1
Babesia,PROPN,1
Babinski,PROPN,3
Baby,PROPN,3
Bacilli,PROPN,1
Bacillus,PROPN,3
Bacitracin,PROPN,1
Baclofen,PROPN,1
Bacteraemia,PROPN,1
Bacteria,NOUN,336
Bacteria,PROPN,2
Bacteriostatic,PROPN,1
Bacteriuria,PROPN,1
Bacteroides,PROPN,1
Bagassosis,PROPN,1
Bagg,PROPN,1
Baggaley,PROPN,1
Bailey,PROPN,1
Baker,PROPN,5
Balanitis,PROPN,2
Ballantyne,PROPN,1
Balsam,PROPN,1
Balwant,PROPN,1
Bambuterol,PROPN,1
Barbiturates,PROPN,1
Bardet,PROPN,1
Barium,PROPN,7
Barnaard,PROPN,1
